route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
124,"0_1","0_1_12401_124_10001","G.Stenjevec",,0,12401,"124_1"
201,"0_1","0_1_20102_201_10004","Kaptol",,1,20102,"201_1"
206,"0_1","0_1_20601_206_10003","Miroševec",,0,20601,"206_1"
176,"0_1","0_1_12002_176_10031","G. Bistra",,0,12002,"176_27"
330,"0_1","0_1_33001_330_10005","V. Gorica",,0,33001,"330_4"
110,"0_1","0_1_11003_110_10011","Botinec",,0,11003,"110_1"
149,"0_1","0_1_12901_149_10006","Kuniščak",,1,12901,
235,"0_1","0_1_23501_235_10005","Kozari Bok",,0,23501,"235_1"
130,"0_1","0_1_13001_130_10001","Borčec",,0,13001,"130_1"
212,"0_1","0_1_21202_212_10027","Sesvete",,0,21202,"212_1"
160,"0_1","0_1_16002_160_10019","Havidić Selo",,0,16002,"160_9"
231,"0_1","0_1_23101_231_10004","Borongaj",,1,23101,"231_8"
221,"0_1","0_1_22101_221_10006","Gl.kolodvor",,1,22101,"221_2"
281,"0_1","0_1_28101_281_10006","Gl.kolodvor",,1,28101,"281_3"
279,"0_1","0_1_27901_279_10002","Dubec",,1,27901,"279_5"
268,"0_1","0_1_26804_268_10059","V. Gorica",,0,26804,"268_3"
120,"0_1","0_1_17605_120_10003","Prečko",,0,17605,"120_4"
261,"0_1","0_1_26101_261_10002","Dubec",,1,26101,"261_2"
203,"0_1","0_1_20301_203_10004","Svetice",,1,20301,"203_12"
242,"0_1","0_1_24201_242_10002","Gl.kolodvor",,1,24201,"242_2"
134,"0_1","0_1_13401_134_10006","Črnomerec",,1,13401,"134_2"
214,"0_1","0_1_21401_214_10002","Koledinečka",,1,21401,"214_6"
164,"0_1","0_1_16401_164_10007","Horvati",,0,16401,"164_7"
208,"0_1","0_1_20802_208_10005","Vidovec",,0,20802,"208_6"
210,"0_1","0_1_21001_210_10003","Novi Retkovec",,0,21001,"210_7"
220,"0_1","0_1_22004_220_10019","Dugave",,0,22004,"220_7"
262,"0_1","0_1_26202_262_10019","Planina Donja",,0,26202,"262_3"
212,"0_1","0_1_21201_212_10020","Dubec",,1,21201,"212_7"
123,"0_1","0_1_12301_123_10004","Črnomerec",,1,12301,"123_2"
136,"0_1","0_1_13601_136_10006","Črnomerec",,1,13601,"136_2"
116,"0_1","0_1_11601_116_10005","Podsus-most",,0,11601,"116_3"
160,"0_1","0_1_16001_160_10008","Savski most",,1,16001,"160_8"
209,"0_1","0_1_20901_209_10004","Dubrava",,1,20901,"209_2"
162,"0_1","0_1_16201_162_10004","Savski most",,1,16201,
135,"0_1","0_1_13501_135_10001","Graberje",,0,13501,"135_3"
17,"0_1","0_1_1714_17_10048","Prečko",,1,1714,"17_11"
3,"0_1","0_1_303_3_10037","Savišće",,0,303,"3_3"
6,"0_1","0_1_607_6_10063","Savski gaj",,0,607,
213,"0_1","0_1_21301_213_10015","Jalševec",,0,21301,"213_4"
6,"0_1","0_1_615_6_10094","Črnomerec",,1,615,"6_12"
11,"0_1","0_1_1113_11_10045","Dubec",,0,1113,"11_1"
11,"0_1","0_1_1101_11_10049","Dubec",,0,1101,"11_3"
14,"0_1","0_1_1401_14_10136","Mihaljevac",,1,1401,
4,"0_1","0_1_405_4_10062","Savski most",,1,405,"4_7"
7,"0_1","0_1_707_7_10074","Savski most",,1,707,"7_68"
220,"0_1","0_1_22002_220_10010","Gl.kolodvor",,1,22002,"220_2"
12,"0_1","0_1_1201_12_10002","Ljubljanica",,1,1201,"12_11"
221,"0_1","0_1_22104_221_10011","Travno",,0,22104,"221_1"
13,"0_1","0_1_1306_13_10100","Kvat. trg",,1,1306,"13_11"
8,"0_1","0_1_801_8_10034","Mihaljevac",,1,801,
15,"0_1","0_1_1501_15_10006","Mihaljevac",,1,1501,"15_2"
15,"0_1","0_1_1502_15_10033","Grač. dolje",,0,1502,"15_1"
125,"0_1","0_1_12501_125_10004","Črnomerec",,1,12501,"125_2"
330,"0_1","0_1_33001_330_10006","Gl.kolodvor",,1,33001,"330_2"
202,"0_1","0_1_20101_202_10005","Kozjak",,0,20101,"202_1"
284,"0_1","0_1_27701_284_10007","Ivanja Reka",,0,27701,"284_3"
127,"0_1","0_1_12701_127_10004","Črnomerec",,1,12701,"127_4"
172,"0_1","0_1_17205_172_10027","Zaprešić",,0,17205,"172_21"
121,"0_1","0_1_12103_121_10012","Črnomerec",,1,12103,"121_5"
182,"0_1","0_1_18201_182_10002","Zaprešić",,1,18201,"182_2"
120,"0_1","0_1_12003_120_10004","Črnomerec",,1,12003,"120_8"
102,"0_1","0_1_10202_102_10002","Britan. trg",,1,10202,"102_6"
230,"0_1","0_1_23001_230_10002","Dubrava",,1,23001,"230_2"
124,"0_1","0_1_12401_124_10004","Črnomerec",,1,12401,"124_2"
133,"0_1","0_1_13301_133_10004","Savski most",,1,13301,"133_4"
218,"0_1","0_1_21801_218_10004","Gl.kolodvor",,1,21801,"218_2"
103,"0_1","0_1_10201_103_10001","Kraljevec",,0,10201,"103_1"
107,"0_1","0_1_10703_107_10024","RT Jankomir",,1,10703,"107_1"
225,"0_1","0_1_22502_225_10001","Kozari Bok",,0,22502,"225_13"
176,"0_1","0_1_17601_176_10008","Črnomerec",,1,17601,"176_5"
280,"0_1","0_1_28001_280_10010","Dubec",,1,28001,"280_2"
121,"0_1","0_1_12101_121_10001","Gajnice",,0,12101,
112,"0_1","0_1_11202_112_10003","Lučko",,0,11202,"112_4"
163,"0_1","0_1_15901_163_10004","Savski most",,1,15901,"163_16"
310,"0_1","0_1_31001_310_10006","Gl.kolodvor",,1,31001,"310_2"
102,"0_1","0_1_10203_102_10001","Mihaljevac",,0,10203,"102_5"
127,"0_1","0_1_12702_127_10019","Mikulići",,0,12702,"127_5"
14,"0_1","0_1_1408_14_10045","Savski gaj-rotor",,0,1408,
215,"0_1","0_1_21503_215_10025","Trnava",,0,21503,"215_3"
120,"0_1","0_1_17605_120_10008","Črnomerec",,1,17605,"120_5"
5,"0_1","0_1_505_5_10039","Park Maksimir",,0,505,"5_18"
